x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-256,-256,0.00981168,0.0238466,-0.132248,0.0238874,0.133253,0.0243202,-0.131957,0.0242756,-0.00294635
-256,-247.873,0.00981168,0.0238466,-0.132248,0.0238874,0.133253,0.0243202,-0.131957,0.0242756,-0.00294635
-256,-239.746,0.00783644,0.0253684,-0.136141,0.0254135,0.137736,0.0255393,-0.13612,0.0255469,-0.00127827
-256,-231.619,0.00693651,0.026633,-0.140179,0.0266801,0.142688,0.0266169,-0.140169,0.0266205,0.00669436
-256,-223.492,0.00216899,0.0290559,-0.144841,0.0291041,0.147505,0.0279278,-0.144835,0.0279327,0.0117116
-256,-215.365,-0.00241752,0.0314866,-0.149337,0.0315359,0.152534,0.0292218,-0.149328,0.029227,0.0179608
-256,-207.238,-0.00747243,0.0341147,-0.153736,0.0341651,0.157711,0.0305241,-0.153727,0.03053,0.0248077
-256,-199.111,-0.0130087,0.0369468,-0.157987,0.0369982,0.163035,0.0318226,-0.157978,0.0318292,0.0323018
-256,-190.984,-0.0190508,0.0399927,-0.162034,0.040045,0.168499,0.0331035,-0.162025,0.0331109,0.0404743
-256,-182.857,-0.0256187,0.0432603,-0.165812,0.0433133,0.174096,0.0343501,-0.165802,0.0343583,0.0493544
-256,-174.73,-0.0327292,0.0467557,-0.169248,0.0468093,0.179814,0.0355433,-0.169238,0.0355524,0.0589654
-256,-166.603,-0.0403933,0.0504828,-0.17226,0.0505368,0.185641,0.0366611,-0.172251,0.0366712,0.0693234
-256,-158.476,-0.0486155,0.0544424,-0.174761,0.0544966,0.191561,0.0376787,-0.174751,0.0376897,0.0804354
-256,-150.349,-0.0573916,0.0586314,-0.17665,0.0586856,0.197555,0.0385683,-0.17664,0.0385803,0.0922964
-256,-142.222,-0.0667072,0.063042,-0.177825,0.0630959,0.2036,0.0392995,-0.177815,0.0393125,0.104888
-256,-134.095,-0.0765353,0.0676611,-0.178174,0.0677144,0.209671,0.0398396,-0.178163,0.0398536,0.118173
-256,-125.968,-0.0868345,0.0724691,-0.17758,0.0725216,0.215738,0.0401539,-0.17757,0.0401689,0.132096
-256,-117.841,-0.097547,0.0774393,-0.175929,0.0774906,0.221766,0.0402068,-0.175918,0.0402226,0.146579
-256,-109.714,-0.108597,0.082537,-0.173103,0.0825868,0.227719,0.0399623,-0.173093,0.0399788,0.16152
-256,-101.587,-0.119888,0.0877192,-0.168992,0.0877672,0.233553,0.0393856,-0.168982,0.0394028,0.176787
-256,-93.4603,-0.131305,0.092934,-0.163498,0.09298,0.239225,0.0384446,-0.163488,0.0384621,0.192223
-256,-85.3333,-0.142712,0.0981211,-0.156536,0.0981647,0.244686,0.0371111,-0.156527,0.0371287,0.207644
-256,-77.2063,-0.153951,0.103212,-0.148044,0.103253,0.249884,0.0353632,-0.148035,0.0353807,0.222838
-256,-69.0794,-0.164851,0.108131,-0.137987,0.108169,0.254768,0.0331868,-0.137979,0.0332039,0.237569
-256,-60.9524,-0.175225,0.112797,-0.126365,0.112833,0.259282,0.0305779,-0.126357,0.0305941,0.251588
-256,-52.8254,-0.184877,0.117126,-0.113214,0.117159,0.263375,0.0275432,-0.113207,0.0275584,0.264629
