x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-9,-9,0.00130868,0.000821391,-0.0132178,0.000948553,0.0136891,0.000677475,-0.0132152,0.00109822,0.00105631
-9,-8.85827,0.00130868,0.000821391,-0.0132178,0.000948553,0.0136891,0.000677475,-0.0132152,0.00109822,0.00105631
-9,-8.71654,0.00119054,0.000859973,-0.0131211,0.000985,0.0139028,0.000702886,-0.0131161,0.0011114,0.00010349
-9,-8.5748,0.0016098,0.000829781,-0.013295,0.000952126,0.0141201,0.00071023,-0.013313,0.00113653,0.000866425
-9,-8.43307,0.00135644,0.000875883,-0.013512,0.000995177,0.0143582,0.000726378,-0.0135312,0.00116566,0.00104033
-9,-8.29134,0.00116721,0.00091533,-0.0137224,0.0010311,0.0145983,0.000740814,-0.0137422,0.00119449,0.00129856
-9,-8.14961,0.000969257,0.000956371,-0.0139318,0.00106814,0.0148421,0.000755513,-0.0139521,0.00122365,0.00156945
-9,-8.00787,0.000761323,0.000999167,-0.0141396,0.00110641,0.0150899,0.000770203,-0.0141604,0.00125311,0.00185286
-9,-7.86614,0.00054292,0.0010438,-0.0143455,0.00114597,0.0153414,0.000784869,-0.0143669,0.00128283,0.00214896
-9,-7.72441,0.00031377,0.00109033,-0.014549,0.00118684,0.0155968,0.00079948,-0.0145709,0.00131275,0.0024581
-9,-7.58268,7.35886e-05,0.00113882,-0.0147494,0.00122904,0.0158559,0.000814002,-0.0147719,0.00134282,0.00278059
-9,-7.44094,-0.0001779,0.00118931,-0.0149463,0.0012726,0.0161187,0.000828398,-0.0149694,0.00137299,0.00311675
-9,-7.29921,-0.00044096,0.00124188,-0.015139,0.00131753,0.0163852,0.000842629,-0.0151627,0.00140319,0.00346688
-9,-7.15748,-0.00071584,0.00129657,-0.015327,0.00136386,0.0166552,0.000856652,-0.0153513,0.00143334,0.00383125
-9,-7.01575,-0.00100277,0.00135344,-0.0155095,0.00141159,0.0169287,0.000870423,-0.0155344,0.00146336,0.00421011
-9,-6.87402,-0.00130196,0.00141254,-0.0156858,0.00146075,0.0172056,0.000883893,-0.0157113,0.00149318,0.00460369
-9,-6.73228,-0.0016136,0.00147391,-0.0158551,0.00151133,0.0174858,0.000897012,-0.0158813,0.0015227,0.00501218
-9,-6.59055,-0.00193785,0.00153759,-0.0160167,0.00156334,0.0177692,0.000909726,-0.0160436,0.00155182,0.00543575
-9,-6.44882,-0.00227484,0.00160363,-0.0161698,0.00161678,0.0180555,0.000921977,-0.0161973,0.00158044,0.00587453
-9,-6.30709,-0.00262466,0.00167205,-0.0163133,0.00167164,0.0183448,0.000933706,-0.0163416,0.00160842,0.00632859
-9,-6.16535,-0.00298737,0.00174288,-0.0164466,0.00172792,0.0186367,0.00094485,-0.0164756,0.00163567,0.00679798
-9,-6.02362,-0.00336298,0.00181614,-0.0165685,0.00178561,0.0189311,0.000955344,-0.0165982,0.00166203,0.00728267
-9,-5.88189,-0.00375147,0.00189184,-0.0166781,0.00184467,0.0192278,0.000965119,-0.0167086,0.00168738,0.0077826
-9,-5.74016,-0.00415275,0.00196998,-0.0167744,0.00190508,0.0195266,0.000974104,-0.0168056,0.00171156,0.00829763
-9,-5.59843,-0.00456667,0.00205054,-0.0168563,0.0019668,0.0198272,0.000982225,-0.0168883,0.00173443,0.00882755
-9,-5.45669,-0.00499306,0.00213351,-0.0169227,0.0020298,0.0201293,0.000989408,-0.0169556,0.00175582,0.0093721
-9,-5.31496,-0.00543163,0.00221886,-0.0169726,0.00209402,0.0204328,0.000995574,-0.0170063,0.00177555,0.00993091
-9,-5.17323,-0.00588207,0.00230654,-0.0170049,0.00215941,0.0207372,0.00100065,-0.0170394,0.00179346,0.0105035
-9,-5.0315,-0.00634396,0.00239649,-0.0170183,0.0022259,0.0210423,0.00100454,-0.0170536,0.00180937,0.0110895
-9,-4.88976,-0.00681683,0.00248864,-0.0170117,0.0022934,0.0213476,0.00100718,-0.0170479,0.00182307,0.0116881
-9,-4.74803,-0.00730011,0.00258289,-0.016984,0.00236185,0.0216529,0.00100848,-0.0170211,0.00183439,0.0122987
-9,-4.6063,-0.00779315,0.00267913,-0.016934,0.00243113,0.0219578,0.00100836,-0.016972,0.00184313,0.0129204
-9,-4.46457,-0.00829522,0.00277723,-0.0168606,0.00250116,0.0222617,0.00100673,-0.0168996,0.00184909,0.0135523
-9,-4.32283,-0.00880548,0.00287706,-0.0167626,0.00257181,0.0225644,0.00100353,-0.0168026,0.00185207,0.0141934
-9,-4.1811,-0.009323,0.00297844,-0.016639,0.00264295,0.0228653,0.000998669,-0.0166799,0.00185187,0.0148425
-9,-4.03937,-0.00984678,0.00308119,-0.0164887,0.00271446,0.0231639,0.000992073,-0.0165306,0.00184829,0.0154983
-9,-3.89764,-0.0103757,0.00318509,-0.0163107,0.00278618,0.0234598,0.000983671,-0.0163536,0.00184115,0.0161594
-9,-3.75591,-0.0109085,0.00328992,-0.016104,0.00285796,0.0237524,0.000973396,-0.016148,0.00183026,0.0168244
-9,-3.61417,-0.0114439,0.00339543,-0.0158677,0.00292964,0.0240413,0.000961185,-0.0159128,0.00181543,0.0174917
-9,-3.47244,-0.0119805,0.00350134,-0.0156011,0.00300104,0.0243258,0.00094698,-0.0156474,0.0017965,0.0181594
-9,-3.33071,-0.0125168,0.00360737,-0.0153035,0.00307197,0.0246054,0.000930731,-0.0153508,0.00177332,0.0188257
-9,-3.18898,-0.0130513,0.00371319,-0.0149742,0.00314225,0.0248795,0.000912395,-0.0150227,0.00174573,0.0194888
-9,-3.04724,-0.0135821,0.00381848,-0.0146127,0.00321168,0.0251475,0.000891937,-0.0146624,0.00171362,0.0201465
-9,-2.90551,-0.0141077,0.00392288,-0.0142188,0.00328004,0.0254089,0.00086933,-0.0142696,0.00167687,0.0207967
-9,-2.76378,-0.0146261,0.00402603,-0.0137921,0.00334713,0.025663,0.000844558,-0.0138442,0.00163541,0.0214373
-9,-2.62205,-0.0151355,0.00412754,-0.0133326,0.00341273,0.0259091,0.000817616,-0.013386,0.00158918,0.0220658
-9,-2.48031,-0.0156341,0.00422703,-0.0128405,0.00347661,0.0261468,0.000788509,-0.0128951,0.00153813,0.02268
-9,-2.33858,-0.0161197,0.00432407,-0.0123159,0.00353856,0.0263754,0.000757253,-0.0123718,0.00148227,0.0232775
-9,-2.19685,-0.0165905,0.00441827,-0.0117594,0.00359835,0.0265942,0.000723877,-0.0118166,0.00142162,0.0238559
-9,-2.05512,-0.0170444,0.0045092,-0.0111715,0.00365576,0.0268027,0.000688424,-0.01123,0.00135623,0.0244128
-9,-1.91339,-0.0174796,0.00459645,-0.0105531,0.00371057,0.0270004,0.000650947,-0.010613,0.0012862,0.0249458
-9,-1.77165,-0.0178939,0.00467961,-0.0099052,0.00376256,0.0271866,0.000611515,-0.00996641,0.00121165,0.0254524
-9,-1.62992,-0.0182856,0.00475826,-0.00922899,0.00381152,0.0273608,0.000570207,-0.00929154,0.00113272,0.0259305
-9,-1.48819,-0.0186526,0.00483202,-0.00852588,0.00385725,0.0275225,0.000527116,-0.00858976,0.00104963,0.0263777
-9,-1.34646,-0.0189934,0.00490049,-0.00779743,0.00389955,0.0276712,0.000482349,-0.00786264,0.000962581,0.0267918
-9,-1.20472,-0.019306,0.00496331,-0.00704543,0.00393824,0.0278065,0.000436023,-0.00711196,0.000871842,0.027171
-9,-1.06299,-0.0195891,0.00502015,-0.00627181,0.00397316,0.0279278,0.000388267,-0.00633964,0.000777704,0.0275132
-9,-0.92126,-0.019841,0.00507069,-0.00547866,0.00400413,0.0280349,0.000339222,-0.00554777,0.000680486,0.0278166
-9,-0.779528,-0.0200605,0.00511465,-0.00466826,0.00403104,0.0281273,0.000289038,-0.00473861,0.000580537,0.0280798
-9,-0.637795,-0.0202464,0.00515176,-0.00384297,0.00405374,0.0282049,0.000237873,-0.00391454,0.000478231,0.0283014
