x,z,T_00,T_01,T_02,T_03,T_10,T_11,T_12,T_13,T_20,T_21,T_22,T_23,T_30,T_31,T_32,T_33
0,0,3.67229e-33,1.65643e-35,-5.20878e-33,9.96132e-38,2.02631e-35,-8.56807e-34,-2.09288e-35,9.96132e-38,-5.20878e-33,-2.46218e-35,6.54624e-33,9.96132e-38,3.51695e-36,-1.81773e-37,3.51123e-36,-8.64473e-34
0,1,3.67229e-33,1.65643e-35,-5.20878e-33,9.96132e-38,2.02631e-35,-8.56807e-34,-2.09288e-35,9.96132e-38,-5.20878e-33,-2.46218e-35,6.54624e-33,9.96132e-38,3.51695e-36,-1.81773e-37,3.51123e-36,-8.64473e-34
0,2,1.25995e-32,5.18225e-35,-1.79926e-32,-3.0786e-37,6.48293e-35,-3.01907e-33,-6.55348e-35,-3.0786e-37,-1.79924e-32,-7.83328e-35,2.27263e-32,-3.0786e-37,1.23367e-35,-6.70149e-37,1.21278e-35,-3.04686e-33
0,3,3.86846e-32,1.46183e-34,-5.56705e-32,6.99084e-37,1.87891e-34,-9.5528e-33,-1.84632e-34,6.99084e-37,-5.56689e-32,-2.24721e-34,7.0724e-32,6.99084e-37,3.94528e-35,-2.2552e-36,3.78341e-35,-9.63808e-33
0,4,1.14983e-31,3.969e-34,-1.66791e-31,2.04195e-36,5.24933e-34,-2.92759e-32,-4.99368e-34,2.04195e-36,-1.66785e-31,-6.20922e-34,2.13163e-31,2.04195e-36,1.20852e-34,-7.1804e-36,1.14373e-34,-2.95342e-32
0,5,3.34872e-31,1.04492e-33,-4.89647e-31,7.64521e-36,1.43154e-33,-8.78829e-32,-1.30617e-33,7.64521e-36,-4.89621e-31,-1.6672e-33,6.29568e-31,7.64521e-36,3.64095e-34,-2.25285e-35,3.38496e-34,-8.86471e-32
0,6,9.57037e-31,2.66178e-33,-1.41058e-30,2.26114e-35,3.80698e-33,-2.58774e-31,-3.29214e-33,2.26114e-35,-1.41049e-30,-4.3442e-33,1.8247e-30,2.26114e-35,1.07595e-33,-6.92383e-35,9.82818e-34,-2.60998e-31
0,7,2.68444e-30,6.53164e-33,-3.98829e-30,7.31368e-35,9.86108e-33,-7.47526e-31,-7.94354e-33,7.31368e-35,-3.98797e-30,-1.09519e-32,5.19064e-30,7.31368e-35,3.12078e-33,-2.08659e-34,2.79973e-33,-7.5387e-31
0,8,7.39018e-30,1.53377e-32,-1.10674e-29,2.29618e-34,2.48377e-32,-2.11848e-30,-1.81573e-32,2.29618e-34,-1.10663e-29,-2.65984e-32,1.44921e-29,2.29618e-34,8.88343e-33,-6.16519e-34,7.82459e-33,-2.13625e-30
0,9,1.99676e-29,3.40996e-32,-3.01418e-29,7.08752e-34,6.07022e-32,-5.88996e-30,-3.85895e-32,7.08752e-34,-3.01385e-29,-6.18284e-32,3.97113e-29,7.08752e-34,2.48165e-32,-1.78607e-33,2.14528e-32,-5.93878e-30
0,10,5.29496e-29,7.04121e-32,-8.05659e-29,2.14712e-33,1.43519e-31,-1.60652e-29,-7.33463e-32,2.14712e-33,-8.05556e-29,-1.36118e-31,1.06797e-28,2.14712e-33,6.8034e-32,-5.07324e-33,5.7698e-32,-1.61969e-29
