x,z,alpha
-9,-9,0.927711
-9,-8.85827,0.927711
-9,-8.71654,0.927165
-9,-8.5748,0.926558
-9,-8.43307,0.926022
-9,-8.29134,0.925477
-9,-8.14961,0.924928
-9,-8.00787,0.924376
-9,-7.86614,0.923821
-9,-7.72441,0.923263
-9,-7.58268,0.922702
-9,-7.44094,0.922139
-9,-7.29921,0.921574
-9,-7.15748,0.921006
-9,-7.01575,0.920437
-9,-6.87402,0.919866
-9,-6.73228,0.919294
-9,-6.59055,0.918722
-9,-6.44882,0.918148
-9,-6.30709,0.917574
-9,-6.16535,0.917001
-9,-6.02362,0.916428
-9,-5.88189,0.915856
-9,-5.74016,0.915285
-9,-5.59843,0.914716
-9,-5.45669,0.914149
-9,-5.31496,0.913584
-9,-5.17323,0.913023
-9,-5.0315,0.912466
-9,-4.88976,0.911913
-9,-4.74803,0.911364
-9,-4.6063,0.910822
-9,-4.46457,0.910285
-9,-4.32283,0.909754
-9,-4.1811,0.909231
-9,-4.03937,0.908716
-9,-3.89764,0.90821
-9,-3.75591,0.907713
-9,-3.61417,0.907226
-9,-3.47244,0.906749
-9,-3.33071,0.906285
-9,-3.18898,0.905832
-9,-3.04724,0.905392
-9,-2.90551,0.904966
-9,-2.76378,0.904554
-9,-2.62205,0.904158
-9,-2.48031,0.903777
-9,-2.33858,0.903413
-9,-2.19685,0.903066
-9,-2.05512,0.902737
-9,-1.91339,0.902427
-9,-1.77165,0.902135
-9,-1.62992,0.901864
-9,-1.48819,0.901614
-9,-1.34646,0.901384
-9,-1.20472,0.901176
-9,-1.06299,0.90099
-9,-0.92126,0.900826
-9,-0.779528,0.900685
-9,-0.637795,0.900567
-9,-0.496063,0.900473
-9,-0.354331,0.900402
-9,-0.212598,0.900355
-9,-0.0708661,0.900332
-9,0.0708661,0.900333
-9,0.212598,0.900358
-9,0.354331,0.900407
-9,0.496063,0.90048
-9,0.637795,0.900576
-9,0.779528,0.900695
-9,0.92126,0.900838
-9,1.06299,0.901003
-9,1.20472,0.901191
-9,1.34646,0.901401
-9,1.48819,0.901632
-9,1.62992,0.901885
-9,1.77165,0.902157
-9,1.91339,0.90245
-9,2.05512,0.902762
-9,2.19685,0.903092
-9,2.33858,0.90344
-9,2.48031,0.903805
-9,2.62205,0.904187
-9,2.76378,0.904585
-9,2.90551,0.904998
-9,3.04724,0.905425
-9,3.18898,0.905866
-9,3.33071,0.906319
-9,3.47244,0.906785
-9,3.61417,0.907262
-9,3.75591,0.90775
-9,3.89764,0.908247
-9,4.03937,0.908754
-9,4.1811,0.90927
-9,4.32283,0.909793
-9,4.46457,0.910324
-9,4.6063,0.910861
-9,4.74803,0.911404
-9,4.88976,0.911953
-9,5.0315,0.912506
-9,5.17323,0.913063
-9,5.31496,0.913624
-9,5.45669,0.914189
-9,5.59843,0.914756
-9,5.74016,0.915325
-9,5.88189,0.915896
-9,6.02362,0.916468
-9,6.16535,0.917041
-9,6.30709,0.917614
