x,z,Gamma000,Gamma001,Gamma002,Gamma010,Gamma011,Gamma012,Gamma020,Gamma021,Gamma022,Gamma100,Gamma101,Gamma102,Gamma110,Gamma111,Gamma112,Gamma120,Gamma121,Gamma122,Gamma200,Gamma201,Gamma202,Gamma210,Gamma211,Gamma212,Gamma220,Gamma221,Gamma222
-5.80952,-5.80952,-7.4979e-05,-0.00215386,0.00678362,-0.00210163,-0.0247916,-0.00166289,0.00676372,-0.00155288,-0.0171051,0.00322739,0.0038698,0.000112655,0.00387035,0.00205218,0.00398278,0.000138092,0.0039809,0.00112491,-0.0175654,-0.000754133,0.00667091,-0.000730647,-0.0252366,-0.000266178,0.00669782,-0.000156808,-0.000168252
-5.80952,-5.61905,-0.000174032,-0.00236648,0.0143848,-0.00231185,-0.0259298,-0.00298548,0.0143999,-0.00286447,-0.0106933,0.00350229,0.00407357,-0.000783328,0.00407341,0.0021732,0.00130074,-0.000755508,0.0012983,-6.37501e-05,-0.0287526,0.00060904,0.00672328,0.0006,-0.0221559,-0.000103651,0.00676385,-6.86311e-05,-0.00565532
-5.80952,-5.42857,-0.000836132,-0.00249845,0.0167889,-0.00244323,-0.0269608,-0.00325627,0.0168166,-0.00312432,0.00540584,0.00388581,0.0043881,-0.00104779,0.00438799,0.00227302,0.00144966,-0.0010182,0.00144715,-0.00223154,-0.0311042,0.000805235,0.00673968,0.000794133,-0.0225918,-0.000103618,0.00668721,-4.98168e-05,-0.00830861
-5.80952,-5.2381,-0.000910122,-0.00268475,0.0195254,-0.00263051,-0.0281975,-0.00365339,0.019533,-0.00351322,0.000548569,0.00408666,0.00454116,-0.00144374,0.00454094,0.0024183,0.00117691,-0.00141221,0.00117416,-0.00170438,-0.033908,0.00114278,0.00669854,0.00112238,-0.0225403,-6.67601e-05,0.00669074,-2.19619e-05,-0.0069566
-5.80952,-5.04762,-0.00126413,-0.0028484,0.0195912,-0.0027961,-0.0294302,-0.00371168,0.0196034,-0.00356088,-0.000685348,0.00434557,0.00472648,-0.00148945,0.00472622,0.0025624,0.00133847,-0.00145574,0.0013355,-0.00164094,-0.0340914,0.00114427,0.00686604,0.00112159,-0.0228508,-5.90055e-05,0.00688065,-1.64019e-05,-0.00802953
-5.80952,-4.85714,-0.00154818,-0.00302959,0.0204,-0.00297988,-0.0307206,-0.00386566,0.0204132,-0.00370494,-0.00205603,0.00460004,0.00491298,-0.00164042,0.00491265,0.00271643,0.00137152,-0.00160481,0.00136838,-0.00155258,-0.0350075,0.00124819,0.00703059,0.0012206,-0.0230063,-4.8432e-05,0.00703672,-3.56449e-06,-0.00858886
-5.80952,-4.66667,-0.00188504,-0.00321777,0.0210558,-0.00317148,-0.0320546,-0.00399971,0.0210705,-0.0038284,-0.00360189,0.00487303,0.00511059,-0.00177794,0.00511016,0.00287772,0.0014253,-0.0017403,0.00142197,-0.00144084,-0.0357485,0.0013377,0.00717575,0.00130513,-0.0231402,-3.59645e-05,0.00718364,8.50889e-06,-0.00926019
-5.80952,-4.47619,-0.00223972,-0.00341527,0.0217321,-0.00337336,-0.0334339,-0.00413598,0.0217479,-0.00395387,-0.00531156,0.00515659,0.00531536,-0.00192533,0.00531483,0.00304716,0.00147037,-0.00188566,0.00146685,-0.00130289,-0.0364908,0.0014368,0.00731635,0.00139861,-0.0232204,-2.25005e-05,0.00732386,2.13687e-05,-0.00987923
-5.80952,-4.28571,-0.00262182,-0.00362102,0.0223543,-0.00358455,-0.0348558,-0.00426426,0.0223712,-0.00407119,-0.00719098,0.0054519,0.00552778,-0.00207285,0.00552713,0.00322449,0.00151526,-0.00203115,0.00151154,-0.00113698,-0.0371549,0.00153618,0.00745171,0.00149194,-0.0232495,-8.17573e-06,0.00745962,3.42177e-05,-0.0104953
-5.80952,-4.09524,-0.00303059,-0.00383469,0.022924,-0.00380484,-0.0363177,-0.00438398,0.0229422,-0.00417991,-0.00924631,0.00575815,0.00574753,-0.00222038,0.00574674,0.00340957,0.00155718,-0.00217669,0.00155329,-0.00094057,-0.03774,0.00163654,0.00758222,0.0015858,-0.0232197,6.81412e-06,0.00759019,4.6935e-05,-0.0110873
