x,z,rho,p,vx,vy,vz
-2,-2,8.32331e-35,2.49699e-35,-0.0113135,-1.41419,0
-2,-1.9,8.32331e-35,2.49699e-35,-0.0113135,-1.41419,0
-2,-1.8,2.89196e-34,8.67587e-35,-0.0114044,-1.42555,0
-2,-1.7,9.84835e-34,2.95451e-34,-0.011496,-1.437,0
-2,-1.6,3.28709e-33,9.86126e-34,-0.0115882,-1.44853,0
-2,-1.5,1.07531e-32,3.22594e-33,-0.0116811,-1.46014,0
-2,-1.4,3.44773e-32,1.03432e-32,-0.0117747,-1.47184,0
-2,-1.3,1.08345e-31,3.25035e-32,-0.0118689,-1.48361,0
-2,-1.2,3.33703e-31,1.00111e-31,-0.0119636,-1.49545,0
-2,-1.1,1.00736e-30,3.02209e-31,-0.0120589,-1.50736,0
-2,-1,2.9805e-30,8.94151e-31,-0.0121547,-1.51934,0
-2,-0.9,8.64307e-30,2.59292e-30,-0.012251,-1.53138,0
-2,-0.8,2.45653e-29,7.3696e-30,-0.0123478,-1.54347,0
-2,-0.7,6.8431e-29,2.05293e-29,-0.0124449,-1.55562,0
-2,-0.6,1.86835e-28,5.60506e-29,-0.0125425,-1.56781,0
-2,-0.5,4.99967e-28,1.4999e-28,-0.0126403,-1.58003,0
-2,-0.4,1.31129e-27,3.93388e-28,-0.0127383,-1.59229,0
-2,-0.3,3.3708e-27,1.01124e-27,-0.0128366,-1.60458,0
-2,-0.2,8.49264e-27,2.54779e-27,-0.012935,-1.61688,0
-2,-0.1,2.09715e-26,6.29144e-27,-0.0130335,-1.62919,0
-2,1.11022e-16,5.07563e-26,1.52269e-26,-0.0131321,-1.64151,0
-2,0.1,1.204e-25,3.61201e-26,-0.0132305,-1.65382,0
-2,0.2,2.79924e-25,8.39773e-26,-0.0133289,-1.66611,0
-2,0.3,6.37867e-25,1.9136e-25,-0.0134271,-1.67838,0
-2,0.4,1.42461e-24,4.27382e-25,-0.0135249,-1.69062,0
-2,0.5,3.11843e-24,9.35528e-25,-0.0136225,-1.70281,0
-2,0.6,6.69041e-24,2.00712e-24,-0.0137196,-1.71495,0
-2,0.7,1.40684e-23,4.22052e-24,-0.0138161,-1.72702,0
-2,0.8,2.89944e-23,8.69831e-24,-0.0139121,-1.73901,0
-2,0.9,5.85677e-23,1.75703e-23,-0.0140073,-1.75091,0
-2,1,1.15952e-22,3.47856e-23,-0.0141017,-1.76271,0
-2,1.1,2.24996e-22,6.74987e-23,-0.0141951,-1.77439,0
-2,1.2,4.27904e-22,1.28371e-22,-0.0142875,-1.78594,0
-2,1.3,7.97617e-22,2.39285e-22,-0.0143788,-1.79735,0
-2,1.4,1.4572e-21,4.37159e-22,-0.0144688,-1.80861,0
-2,1.5,2.60926e-21,7.82778e-22,-0.0145575,-1.81969,0
-2,1.6,4.57924e-21,1.37377e-21,-0.0146446,-1.83058,0
-2,1.7,7.8767e-21,2.36301e-21,-0.0147302,-1.84127,0
-2,1.8,1.32792e-20,3.98376e-21,-0.014814,-1.85175,0
-2,1.9,2.19419e-20,6.58258e-21,-0.014896,-1.86199,0
-2,2,3.55348e-20,1.06604e-20,-0.0149759,-1.87199,0
-2,2.1,5.64038e-20,1.69212e-20,-0.0150538,-1.88172,0
-2,2.2,8.77484e-20,2.63245e-20,-0.0151294,-1.89117,0
-2,2.3,1.33797e-19,4.01391e-20,-0.0152026,-1.90033,0
-2,2.4,1.99953e-19,5.9986e-20,-0.0152734,-1.90918,0
-2,2.5,2.92878e-19,8.78634e-20,-0.0153416,-1.91769,0
