x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-9,-9,1.07948,-0.00755545,0.0788621,-0.00760134,1.00478,-0.00767813,0.0788429,-0.00779531,1.08064
-9,-8.71429,1.07948,-0.00755545,0.0788621,-0.00760134,1.00478,-0.00767813,0.0788429,-0.00779531,1.08064
-9,-8.42857,1.0828,-0.00797973,0.0778501,-0.00802528,1.00504,-0.00760826,0.0778316,-0.00773599,1.07959
-9,-8.14286,1.0864,-0.00843667,0.079117,-0.00848164,1.0053,-0.00784459,0.0791022,-0.00798195,1.07789
-9,-7.85714,1.09072,-0.00899277,0.0801134,-0.00903548,1.0055,-0.00805286,0.0801011,-0.00819926,1.07641
-9,-7.57143,1.09512,-0.00956901,0.080976,-0.00960905,1.00572,-0.00825141,0.0809615,-0.00840653,1.07469
-9,-7.28571,1.09972,-0.0101805,0.0817107,-0.0102171,1.00595,-0.00844015,0.081695,-0.00860446,1.07283
-9,-7,1.10449,-0.0108262,0.082297,-0.0108585,1.00619,-0.00861648,0.08228,-0.00879012,1.07079
-9,-6.71429,1.10946,-0.0115071,0.0827143,-0.0115343,1.00644,-0.00877736,0.082696,-0.00896041,1.0686
-9,-6.42857,1.11459,-0.0122231,0.0829405,-0.0122443,1.00669,-0.00891945,0.0829208,-0.00911187,1.06624
-9,-6.14286,1.1199,-0.012974,0.0829522,-0.0129879,1.00696,-0.00903911,0.0829311,-0.00924074,1.06372
-9,-5.85714,1.12536,-0.0137586,0.0827252,-0.0137643,1.00724,-0.00913242,0.0827027,-0.00934293,1.06104
-9,-5.57143,1.13096,-0.0145756,0.0822344,-0.0145717,1.00752,-0.00919519,0.0822105,-0.00941411,1.0582
-9,-5.28571,1.13668,-0.0154226,0.0814545,-0.0154079,1.00781,-0.00922306,0.0814292,-0.00944967,1.05523
-9,-5,1.1425,-0.0162965,0.0803603,-0.0162698,1.0081,-0.00921149,0.0803336,-0.00944489,1.05213
-9,-4.71429,1.14838,-0.0171936,0.078927,-0.0171534,1.0084,-0.00915592,0.0788991,-0.00939494,1.04891
-9,-4.42857,1.15431,-0.0181088,0.0771314,-0.0180539,1.00871,-0.0090518,0.0771024,-0.00929504,1.0456
-9,-4.14286,1.16023,-0.0190363,0.0749519,-0.0189656,1.00901,-0.00889479,0.0749222,-0.00914054,1.04223
-9,-3.85714,1.16612,-0.0199693,0.0723701,-0.0198816,1.00932,-0.00868084,0.0723397,-0.00892715,1.03881
-9,-3.57143,1.17192,-0.0208998,0.0693707,-0.0207942,1.00962,-0.00840639,0.06934,-0.00865104,1.03539
