x,z,alpha,beta0,beta1,beta2,d_alpha_dt,d_beta0_dt,d_beta1_dt,d_beta2_dt
-9,-9,0.822472,-0.0493918,0.00426305,-0.0510119,-0.0109172,0.000103999,0.000152985,0.00394531
-9,-8.87755,0.822472,-0.0493918,0.00426305,-0.0510119,-0.0109172,0.000103999,0.000152985,0.00394531
-9,-8.7551,0.820983,-0.0501373,0.00435655,-0.051091,-0.0175558,-0.00974066,0.00119702,-0.00164713
-9,-8.63265,0.819478,-0.0508957,0.00445233,-0.0511622,-0.0168164,-0.00849823,0.00107704,-0.000745909
-9,-8.5102,0.817956,-0.0516671,0.00455044,-0.0512251,-0.0169991,-0.00864343,0.00110317,-0.000650977
-9,-8.38776,0.816418,-0.0524515,0.00465092,-0.0512792,-0.0171813,-0.00879006,0.00112982,-0.000551099
-9,-8.26531,0.814864,-0.0532493,0.00475382,-0.0513242,-0.017363,-0.00893801,0.00115699,-0.000446081
-9,-8.14286,0.813293,-0.0540604,0.00485919,-0.0513594,-0.0175438,-0.00908718,0.00118467,-0.000335725
-9,-8.02041,0.811706,-0.054885,0.00496708,-0.0513844,-0.0177234,-0.00923744,0.00121287,-0.000219826
-9,-7.89796,0.810103,-0.0557232,0.00507752,-0.0513988,-0.0179017,-0.00938865,0.00124155,-9.81766e-05
-9,-7.77551,0.808484,-0.056575,0.00519057,-0.0514019,-0.0180784,-0.00954067,0.00127072,2.94355e-05
-9,-7.65306,0.806849,-0.0574405,0.00530626,-0.0513933,-0.018253,-0.00969333,0.00130035,0.000163227
-9,-7.53061,0.805198,-0.0583198,0.00542465,-0.0513723,-0.0184253,-0.00984645,0.00133043,0.000303416
-9,-7.40816,0.803532,-0.0592129,0.00554575,-0.0513385,-0.018595,-0.00999983,0.00136093,0.000450227
-9,-7.28571,0.801851,-0.0601198,0.00566962,-0.0512911,-0.0187617,-0.0101533,0.00139183,0.000603884
-9,-7.16327,0.800155,-0.0610405,0.00579629,-0.0512296,-0.0189249,-0.0103065,0.0014231,0.000764615
-9,-7.04082,0.798445,-0.061975,0.00592579,-0.0511532,-0.0190843,-0.0104593,0.00145471,0.000932646
-9,-6.91837,0.79672,-0.0629231,0.00605815,-0.0510615,-0.0192393,-0.0106114,0.00148662,0.00110821
-9,-6.79592,0.794982,-0.063885,0.00619339,-0.0509535,-0.0193897,-0.0107624,0.00151878,0.00129153
-9,-6.67347,0.79323,-0.0648603,0.00633154,-0.0508288,-0.0195347,-0.0109121,0.00155115,0.00148283
-9,-6.55102,0.791466,-0.0658491,0.0064726,-0.0506864,-0.019674,-0.0110602,0.00158368,0.00168233
-9,-6.42857,0.789689,-0.0668511,0.0066166,-0.0505257,-0.0198069,-0.0112061,0.00161631,0.00189027
-9,-6.30612,0.787901,-0.0678661,0.00676354,-0.0503459,-0.0199329,-0.0113496,0.00164897,0.00210684
-9,-6.18367,0.786101,-0.0688939,0.00691342,-0.0501462,-0.0200514,-0.0114902,0.00168159,0.00233225
-9,-6.06122,0.784292,-0.0699343,0.00706622,-0.0499258,-0.0201617,-0.0116275,0.00171409,0.00256671
-9,-5.93878,0.782472,-0.0709868,0.00722195,-0.0496839,-0.0202632,-0.0117609,0.0017464,0.00281039
-9,-5.81633,0.780645,-0.0720511,0.00738057,-0.0494196,-0.0203551,-0.0118899,0.00177841,0.00306347
-9,-5.69388,0.778809,-0.0731268,0.00754205,-0.0491322,-0.0204367,-0.012014,0.00181003,0.0033261
-9,-5.57143,0.776966,-0.0742135,0.00770636,-0.0488207,-0.0205072,-0.0121327,0.00184115,0.00359843
-9,-5.44898,0.775118,-0.0753105,0.00787344,-0.0484842,-0.020566,-0.0122452,0.00187164,0.00388058
-9,-5.32653,0.773265,-0.0764174,0.00804323,-0.0481219,-0.0206121,-0.0123509,0.00190139,0.00417263
-9,-5.20408,0.771408,-0.0775334,0.00821566,-0.0477328,-0.0206446,-0.0124492,0.00193025,0.00447465
-9,-5.08163,0.769549,-0.078658,0.00839064,-0.0473161,-0.0206628,-0.0125393,0.00195808,0.00478668
-9,-4.95918,0.767689,-0.0797902,0.00856808,-0.0468709,-0.0206657,-0.0126204,0.00198473,0.00510872
-9,-4.83673,0.76583,-0.0809294,0.00874785,-0.0463963,-0.0206524,-0.0126918,0.00201003,0.00544074
-9,-4.71429,0.763972,-0.0820745,0.00892984,-0.0458913,-0.0206219,-0.0127526,0.0020338,0.00578265
-9,-4.59184,0.762118,-0.0832245,0.00911389,-0.0453551,-0.0205733,-0.0128021,0.00205587,0.00613434
-9,-4.46939,0.76027,-0.0843785,0.00929984,-0.0447868,-0.0205056,-0.0128392,0.00207604,0.00649563
-9,-4.34694,0.758428,-0.0855352,0.00948751,-0.0441856,-0.0204178,-0.0128632,0.0020941,0.0068663
-9,-4.22449,0.756595,-0.0866934,0.00967671,-0.0435506,-0.0203089,-0.012873,0.00210985,0.00724604
-9,-4.10204,0.754773,-0.0878519,0.00986721,-0.042881,-0.0201779,-0.0128677,0.00212306,0.00763452
-9,-3.97959,0.752964,-0.0890091,0.0100588,-0.0421761,-0.0200239,-0.0128465,0.00213352,0.00803132
-9,-3.85714,0.75117,-0.0901637,0.0102512,-0.0414352,-0.0198458,-0.0128082,0.00214099,0.00843594
-9,-3.73469,0.749392,-0.091314,0.0104441,-0.0406574,-0.0196428,-0.0127519,0.00214524,0.00884781
-9,-3.61224,0.747635,-0.0924585,0.0106372,-0.0398424,-0.0194137,-0.0126766,0.00214602,0.00926629
-9,-3.4898,0.745899,-0.0935952,0.0108302,-0.0389893,-0.0191579,-0.0125814,0.0021431,0.00969064
-9,-3.36735,0.744187,-0.0947225,0.0110228,-0.0380979,-0.0188743,-0.0124654,0.00213623,0.0101201
-9,-3.2449,0.742502,-0.0958384,0.0112146,-0.0371676,-0.0185623,-0.0123276,0.00212518,0.0105536
-9,-3.12245,0.740847,-0.0969408,0.0114052,-0.0361981,-0.018221,-0.0121671,0.00210972,0.0109903
