x,z,Gamma000,Gamma001,Gamma002,Gamma010,Gamma011,Gamma012,Gamma020,Gamma021,Gamma022,Gamma100,Gamma101,Gamma102,Gamma110,Gamma111,Gamma112,Gamma120,Gamma121,Gamma122,Gamma200,Gamma201,Gamma202,Gamma210,Gamma211,Gamma212,Gamma220,Gamma221,Gamma222
-5.80952,-5.80952,-0.00767415,-0.013143,0.0127102,-0.0131465,-0.0448734,-0.00997934,0.0127535,-0.00997723,-0.00829713,0.0172396,-0.00100112,-0.00103667,-0.00100102,0.0114989,0.00106146,-0.00103548,0.00106163,-0.00495994,-0.00567055,-0.00285799,0.0163245,-0.00285269,-0.0527863,0.00105218,0.0163061,0.00105505,-0.00719015
-5.80952,-5.61905,-0.00383669,-0.0153339,0.0383494,-0.0153367,-0.0457552,-0.0183008,0.0383607,-0.0183022,-0.00270785,0.0178855,-0.000835929,-0.00739001,-0.000836188,0.0119437,0.00395698,-0.00739243,0.00395744,-0.0110201,-0.0365806,0.00552513,0.0116477,0.00552605,-0.0554698,0.002748,0.0115921,0.00275752,-0.0180569
-5.80952,-5.42857,-0.00364971,-0.0163216,0.0410807,-0.0163246,-0.0475155,-0.0194436,0.0410833,-0.0194428,0.00953913,0.0188319,-0.00084375,-0.00857434,-0.000844036,0.0126211,0.00424837,-0.00857401,0.0042483,-0.015791,-0.0390471,0.00656389,0.010945,0.0065649,-0.0562707,0.00303468,0.0109475,0.00303292,-0.0223992
-5.80952,-5.2381,-0.00333823,-0.0172855,0.0426487,-0.0172886,-0.0494428,-0.0201158,0.0426507,-0.0201152,0.0059657,0.019608,-0.000822355,-0.00945989,-0.000822676,0.0133566,0.00455982,-0.00945978,0.00455985,-0.0151399,-0.04006,0.0071719,0.0107526,0.00717277,-0.0570354,0.00322589,0.0107517,0.00322622,-0.023171
-5.80952,-5.04762,-0.00308191,-0.0182756,0.0439206,-0.0182789,-0.0514365,-0.0206978,0.0439231,-0.0206971,0.00335926,0.020431,-0.000802334,-0.0103093,-0.00080268,0.0141312,0.00486013,-0.0103091,0.00486015,-0.0148201,-0.0407718,0.00773403,0.0105283,0.007735,-0.0577267,0.00340439,0.0105287,0.00340429,-0.0249767
-5.80952,-4.85714,-0.00276715,-0.0193163,0.0453203,-0.0193198,-0.0534992,-0.0213063,0.0453229,-0.0213056,0.000524332,0.021257,-0.000772564,-0.0112443,-0.000772943,0.014946,0.00518728,-0.0112441,0.00518732,-0.0143941,-0.0416408,0.00837811,0.0102215,0.00837908,-0.0583723,0.00359078,0.010221,0.00359085,-0.0266473
-5.80952,-4.66667,-0.00242795,-0.0203956,0.0466511,-0.0203992,-0.0556345,-0.0218819,0.0466538,-0.0218811,-0.00263091,0.0220901,-0.000734702,-0.0122057,-0.000735116,0.0158028,0.00552206,-0.0122055,0.0055221,-0.0138164,-0.0424727,0.00904817,0.00986675,0.00904915,-0.0589438,0.00377221,0.0098663,0.00377225,-0.0283185
-5.80952,-4.47619,-0.00206403,-0.0215109,0.047901,-0.0215147,-0.057842,-0.0224175,0.0479037,-0.0224166,-0.00612435,0.0229257,-0.000687882,-0.0131881,-0.000688335,0.0167018,0.00586256,-0.0131879,0.00586261,-0.0130696,-0.0432647,0.00974258,0.00946376,0.00974358,-0.0594285,0.0039455,0.00946328,0.00394554,-0.0299621
-5.80952,-4.28571,-0.00167812,-0.0226582,0.0490474,-0.0226622,-0.0601208,-0.0229025,0.0490502,-0.0229015,-0.00996998,0.0237595,-0.000631504,-0.0141812,-0.000632001,0.0176431,0.00620506,-0.014181,0.00620512,-0.0121365,-0.044003,0.0104557,0.00901303,0.0104567,-0.0598114,0.00410669,0.00901253,0.00410673,-0.0315578
-5.80952,-4.09524,-0.00127347,-0.0238327,0.0500667,-0.0238369,-0.0624692,-0.0233258,0.0500695,-0.0233248,-0.0141787,0.0245868,-0.000565044,-0.0151731,-0.000565589,0.0186264,0.00654514,-0.0151728,0.0065452,-0.0110007,-0.0446727,0.0111805,0.00851607,0.0111815,-0.0600758,0.00425131,0.00851556,0.00425135,-0.0330819
