time,hamiltonian_L2,momentum_x_L2,momentum_y_L2,momentum_z_L2
0,15.7755,3.0822,4.7734,4.9125
0.0117742,15.8201,2.81251,4.6616,4.49566
0.0240408,15.4375,2.72664,4.58359,4.28627
0.0367504,15.8429,2.69362,4.52848,4.17788
0,0,-nan,-nan,-nan
0.0117407,0,-nan,-nan,-nan
0.0239555,0,-nan,-nan,-nan
0.0366708,0,-nan,-nan,-nan
0.0499151,0,-nan,-nan,-nan
0,15.5556,3.0822,4.7734,4.9125
0.0117742,15.6135,2.81251,4.6616,4.49566
0.0240408,15.6308,2.72664,4.58359,4.28627
0.0367504,15.6287,2.69362,4.52848,4.17787
0.0498544,15.6391,2.6766,4.4874,4.11714
0.0633057,15.6431,2.66559,4.4559,4.0822
0.0770606,15.7623,2.65742,4.43152,4.06227
0.0910794,15.6474,2.65091,4.41261,4.05138
0.105327,15.6554,2.64553,4.39801,4.04603
0.119775,15.157,2.64099,4.38681,4.04404
0.134396,16.4015,2.6371,4.37832,4.04404
0.148671,15.6575,2.63332,4.37075,4.0408
0.162258,15.654,2.62953,4.36323,4.0325
0.175857,15.6554,2.62634,4.35728,4.02557
0.189468,15.6565,2.62357,4.35268,4.01942
0.203091,15.6571,2.62113,4.34914,4.01381
0.216726,15.6573,2.61899,4.34646,4.00858
0.230373,15.6572,2.61708,4.34446,4.00363
0.244032,15.6578,2.61538,4.343,3.9989
0.257703,15.6583,2.61385,4.34197,3.99434
0.271386,15.6592,2.61247,4.34129,3.98992
0.285081,15.7355,2.61122,4.34089,3.9856
0.298788,15.5792,2.61008,4.3407,3.98139
0.312508,15.3999,2.60903,4.3407,3.97725
0.326239,15.9515,2.60807,4.34083,3.9732
0.339983,15.7118,2.60718,4.34107,3.96921
0.353739,15.6662,2.60635,4.34139,3.96528
0.367507,15.6591,2.60557,4.34178,3.96142
0.381287,15.7766,2.60484,4.34221,3.95761
0.39508,15.6606,2.60414,4.34268,3.95386
0,15.5541,3.08214,4.77335,4.91244
0.0117742,15.617,2.81246,4.66154,4.4956
0.0240407,15.6265,2.72659,4.58353,4.2862
0.0367504,15.6352,2.69356,4.52842,4.17781
0.0498544,15.6412,2.67655,4.48734,4.11708
0.0633057,15.6471,2.66553,4.45585,4.08215
0.0770606,15.6435,2.65737,4.43146,4.06222
0.0910794,15.6475,2.65086,4.41256,4.05133
0.105327,15.6515,2.64548,4.39796,4.04598
0.119775,15.6459,2.64093,4.38676,4.04398
0.134396,15.6542,2.63705,4.37826,4.04399
0.148671,15.6573,2.63327,4.37069,4.04074
0.162258,15.6557,2.62948,4.36317,4.03244
0.175857,15.6562,2.62629,4.35722,4.02551
0.189468,15.7353,2.62351,4.35262,4.01937
0.203091,14.8712,2.62108,4.34909,4.01376
0.216726,15.6577,2.61893,4.3464,4.00853
0.230373,15.6581,2.61703,4.3444,4.00358
0.244032,15.6578,2.61532,4.34294,3.99885
0.257703,15.6639,2.61379,4.34191,3.99429
0.271386,15.6584,2.61242,4.34123,3.98986
0.285081,15.6581,2.61117,4.34083,3.98555
0.298788,15.6798,2.61003,4.34065,3.98133
0.312508,15.7458,2.60898,4.34064,3.9772
0.326239,15.6302,2.60802,4.34077,3.97314
0.339983,16.0549,2.60712,4.34101,3.96915
0.353739,15.6602,2.60629,4.34133,3.96523
0.367507,15.6603,2.60552,4.34171,3.96137
0.381287,15.6603,2.60478,4.34215,3.95756
0.39508,15.6605,2.60409,4.34263,3.9538
