x,z,rho,p,vx,vy,vz
-2,-2,0.000216315,6.49179e-05,-0.0562376,-1.69857,-0.0266187
-2,-1.9,0.000216315,6.49179e-05,-0.0562376,-1.69857,-0.0266187
-2,-1.8,0.000283963,8.52292e-05,-0.0559406,-1.72685,-0.0540632
-2,-1.7,0.000369401,0.000110888,-0.0555372,-1.7556,-0.0511206
-2,-1.6,0.000476206,0.000142975,-0.0550843,-1.78478,-0.048118
-2,-1.5,0.000608349,0.00018269,-0.0545746,-1.81434,-0.0451105
-2,-1.4,0.000770143,0.000231339,-0.0540044,-1.84426,-0.0421032
-2,-1.3,0.000966164,0.000290316,-0.0533703,-1.87448,-0.0391018
-2,-1.2,0.00120113,0.000361061,-0.0526694,-1.90494,-0.0361129
-2,-1.1,0.00147976,0.000445024,-0.0518991,-1.93559,-0.0331441
-2,-1,0.00180657,0.000543602,-0.0510571,-1.96635,-0.0302044
-2,-0.9,0.00218563,0.000658078,-0.0501419,-1.99714,-0.0273045
-2,-0.8,0.00262036,0.00078954,-0.0491525,-2.02786,-0.0244562
-2,-0.7,0.00311319,0.000938802,-0.048089,-2.05842,-0.0216733
-2,-0.6,0.00366531,0.00110631,-0.0469527,-2.0887,-0.0189711
-2,-0.5,0.00427638,0.00129206,-0.0457461,-2.11858,-0.0163665
-2,-0.4,0.00494428,0.00149551,-0.0444737,-2.14793,-0.0138775
-2,-0.3,0.00566488,0.00171551,-0.0431419,-2.1766,-0.0115237
-2,-0.2,0.0064319,0.00195025,-0.0417594,-2.20444,-0.00932515
-2,-0.1,0.00723683,0.00219724,-0.0403376,-2.23129,-0.00730186
-2,1.11022e-16,0.00806898,0.00245325,-0.0388906,-2.25699,-0.00547332
-2,0.1,0.00891558,0.00271442,-0.0374355,-2.28137,-0.00385724
-2,0.2,0.00976206,0.00297627,-0.0359923,-2.30425,-0.00246855
-2,0.3,0.0105924,0.00323382,-0.0345837,-2.32545,-0.00131809
-2,0.4,0.0113896,0.00348173,-0.0332347,-2.34481,-0.000411397
-2,0.5,0.0121362,0.0037145,-0.0319721,-2.36217,0.000252526
-2,0.6,0.0128149,0.0039266,-0.0308232,-2.37737,0.000682176
-2,0.7,0.0134095,0.00411276,-0.0298152,-2.39027,0.00089421
-2,0.8,0.013905,0.00426816,-0.0289735,-2.40075,0.000913624
-2,0.9,0.0142885,0.00438863,-0.0283205,-2.4087,0.000773399
-2,1,0.0145501,0.00447088,-0.0278744,-2.41405,0.000513539
-2,1.1,0.0146827,0.00451259,-0.027648,-2.41674,0.00017955
-2,1.2,0.0146827,0.00451259,-0.027648,-2.41674,-0.00017955
-2,1.3,0.0145501,0.00447088,-0.0278744,-2.41405,-0.000513539
-2,1.4,0.0142885,0.00438863,-0.0283205,-2.4087,-0.000773399
-2,1.5,0.013905,0.00426816,-0.0289735,-2.40075,-0.000913624
-2,1.6,0.0134095,0.00411276,-0.0298152,-2.39027,-0.00089421
-2,1.7,0.0128149,0.0039266,-0.0308232,-2.37737,-0.000682176
-2,1.8,0.0121362,0.0037145,-0.0319721,-2.36217,-0.000252526
-2,1.9,0.0113896,0.00348173,-0.0332347,-2.34481,0.000411397
-2,2,0.0105924,0.00323382,-0.0345837,-2.32545,0.00131809
-2,2.1,0.00976206,0.00297627,-0.0359923,-2.30425,0.00246855
-2,2.2,0.00891558,0.00271442,-0.0374355,-2.28137,0.00385724
-2,2.3,0.00806898,0.00245325,-0.0388906,-2.25699,0.00547332
-2,2.4,0.00723683,0.00219724,-0.0403376,-2.23129,0.00730186
-2,2.5,0.0064319,0.00195025,-0.0417594,-2.20444,0.00932515
-2,2.6,0.00566488,0.00171551,-0.0431419,-2.1766,0.0115237
-2,2.7,0.00494428,0.00149551,-0.0444737,-2.14793,0.0138775
-2,2.8,0.00427638,0.00129206,-0.0457461,-2.11858,0.0163665
-2,2.9,0.00366531,0.00110631,-0.0469527,-2.0887,0.0189711
-2,3,0.00311319,0.000938802,-0.048089,-2.05842,0.0216733
-2,3.1,0.00262036,0.00078954,-0.0491525,-2.02786,0.0244562
-2,3.2,0.00218563,0.000658078,-0.0501419,-1.99714,0.0273045
-2,3.3,0.00180657,0.000543602,-0.0510571,-1.96635,0.0302044
-2,3.4,0.00147976,0.000445024,-0.0518991,-1.93559,0.0331441
-2,3.5,0.00120113,0.000361061,-0.0526694,-1.90494,0.0361129
-2,3.6,0.000966164,0.000290316,-0.0533703,-1.87448,0.0391018
-2,3.7,0.000770143,0.000231339,-0.0540044,-1.84426,0.0421032
-2,3.8,0.000608349,0.00018269,-0.0545746,-1.81434,0.0451105
-2,3.9,0.000476206,0.000142975,-0.0550843,-1.78478,0.048118
-2,4,0.000369401,0.000110888,-0.0555372,-1.7556,0.0511206
-2,4.1,0.000283963,8.52292e-05,-0.0559404,-1.72685,0.0540637
-2,4.2,0.000216315,6.49179e-05,-0.056237,-1.69857,0.0266187
-2,4.3,0.000216315,6.49179e-05,-0.056237,-1.69857,0.0266187
-1.9,-2,0.000216315,6.49179e-05,-0.0562376,-1.69857,-0.0266187
-1.9,-1.9,0.000216315,6.49179e-05,-0.0844002,-1.70021,-0.0531753
-1.9,-1.8,0.000283963,8.52292e-05,-0.0831736,-1.72878,-0.108247
-1.9,-1.7,0.000369401,0.000110888,-0.0819073,-1.7578,-0.102322
-1.9,-1.6,0.000476206,0.000142975,-0.0805183,-1.78729,-0.0963142
-1.9,-1.5,0.000608349,0.00018269,-0.079013,-1.81719,-0.0902972
-1.9,-1.4,0.000770143,0.000231339,-0.0773827,-1.84747,-0.0842771
-1.9,-1.3,0.000966164,0.000290316,-0.0756224,-1.87809,-0.078267
-1.9,-1.2,0.00120113,0.000361061,-0.0737272,-1.90898,-0.0722793
-1.9,-1.1,0.00147976,0.000445024,-0.0716932,-1.94009,-0.0663293
-1.9,-1,0.00180657,0.000543602,-0.0695172,-1.97134,-0.0604345
-1.9,-0.9,0.00218563,0.000658078,-0.0671976,-2.00266,-0.0546158
