x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-256,-256,1.21401,-0.0508961,0.227605,-0.0508971,1.0118,-0.0537638,0.227597,-0.0537626,1.23703
-256,-247.873,1.21401,-0.0508961,0.227605,-0.0508971,1.0118,-0.0537638,0.227597,-0.0537626,1.23703
-256,-239.746,1.22327,-0.0538674,0.229513,-0.0538685,1.01268,-0.0548785,0.229512,-0.0548787,1.23306
-256,-231.619,1.23376,-0.0572616,0.23252,-0.0572628,1.01369,-0.0564522,0.23252,-0.0564523,1.22846
-256,-223.492,1.24477,-0.0608833,0.235291,-0.0608845,1.01479,-0.058006,0.235291,-0.0580061,1.22344
-256,-215.365,1.25625,-0.0647153,0.237742,-0.0647165,1.01598,-0.0595119,0.237742,-0.059512,1.21792
-256,-207.238,1.26819,-0.0687663,0.239825,-0.0687676,1.01725,-0.0609531,0.239825,-0.0609532,1.21189
-256,-199.111,1.28059,-0.0730405,0.241484,-0.0730418,1.01861,-0.0623098,0.241484,-0.06231,1.20535
-256,-190.984,1.29345,-0.0775399,0.24266,-0.0775412,1.02006,-0.0635602,0.24266,-0.0635604,1.19827
-256,-182.857,1.30674,-0.0822645,0.24329,-0.0822658,1.02162,-0.0646798,0.24329,-0.06468,1.19067
-256,-174.73,1.32045,-0.0872113,0.243308,-0.0872127,1.02326,-0.065642,0.243308,-0.0656421,1.18253
-256,-166.603,1.33455,-0.0923743,0.242643,-0.0923757,1.02501,-0.0664177,0.242643,-0.0664178,1.17388
-256,-158.476,1.34899,-0.0977432,0.241222,-0.0977446,1.02686,-0.0669758,0.241222,-0.066976,1.16473
-256,-150.349,1.36374,-0.103304,0.238973,-0.103305,1.02879,-0.0672835,0.238973,-0.0672837,1.1551
-256,-142.222,1.37873,-0.109036,0.235819,-0.109037,1.03082,-0.0673065,0.235819,-0.0673067,1.14504
-256,-134.095,1.3939,-0.114915,0.231688,-0.114917,1.03292,-0.0670097,0.231688,-0.0670099,1.13458
-256,-125.968,1.40916,-0.12091,0.226508,-0.120912,1.0351,-0.066358,0.226508,-0.0663582,1.1238
-256,-117.841,1.42443,-0.126984,0.220213,-0.126986,1.03733,-0.0653171,0.220213,-0.0653174,1.11277
-256,-109.714,1.4396,-0.133092,0.212744,-0.133094,1.0396,-0.0638547,0.212744,-0.0638549,1.10158
-256,-101.587,1.45456,-0.139184,0.204052,-0.139185,1.04189,-0.0619415,0.204052,-0.0619418,1.09032
-256,-93.4603,1.46917,-0.145203,0.1941,-0.145204,1.04418,-0.0595531,0.1941,-0.0595534,1.07913
-256,-85.3333,1.48331,-0.151085,0.182865,-0.151086,1.04644,-0.0566708,0.182865,-0.0566711,1.06811
-256,-77.2063,1.49683,-0.156762,0.170344,-0.156764,1.04865,-0.0532836,0.170344,-0.0532838,1.05742
-256,-69.0794,1.50957,-0.162164,0.156553,-0.162165,1.05076,-0.0493894,0.156552,-0.0493897,1.04721
-256,-60.9524,1.5214,-0.167214,0.141531,-0.167215,1.05275,-0.0449964,0.141531,-0.0449966,1.03761
-256,-52.8254,1.53215,-0.171839,0.125342,-0.171841,1.05459,-0.040124,0.125342,-0.0401242,1.02879
-256,-44.6984,1.54168,-0.175966,0.108074,-0.175967,1.05624,-0.0348034,0.108074,-0.0348036,1.0209
-256,-36.5714,1.54986,-0.179526,0.0898412,-0.179527,1.05768,-0.0290778,0.0898411,-0.029078,1.01407
-256,-28.4444,1.55656,-0.182456,0.070781,-0.182457,1.05886,-0.0230022,0.0707809,-0.0230023,1.00844
-256,-20.3175,1.56169,-0.184703,0.0510522,-0.184704,1.05977,-0.0166419,0.0510521,-0.016642,1.00412
-256,-12.1905,1.56515,-0.186226,0.0308319,-0.186227,1.06039,-0.0100712,0.0308319,-0.0100713,1.00119
-256,-4.06349,1.5669,-0.186995,0.010311,-0.186996,1.0607,-0.00337158,0.010311,-0.0033716,0.999704
-256,4.06349,1.5669,-0.186995,-0.010311,-0.186996,1.0607,0.00337158,-0.010311,0.0033716,0.999704
-256,12.1905,1.56515,-0.186226,-0.0308319,-0.186227,1.06039,0.0100712,-0.0308319,0.0100713,1.00119
-256,20.3175,1.56169,-0.184703,-0.0510522,-0.184704,1.05977,0.0166419,-0.0510521,0.016642,1.00412
-256,28.4444,1.55656,-0.182456,-0.070781,-0.182457,1.05886,0.0230022,-0.0707809,0.0230023,1.00844
