x,z,alpha,beta0,beta1,beta2,d_alpha_dt,d_beta0_dt,d_beta1_dt,d_beta2_dt
-256,-256,0.82327,-0.319605,0.0755273,-0.336151,0,0,0,0
-256,-247.873,0.82327,-0.319605,0.0755273,-0.336151,0,0,0,0
-256,-239.746,0.821083,-0.32974,0.0791249,-0.335971,0,0,0,0
-256,-231.619,0.818873,-0.340186,0.0828915,-0.335412,0,0,0,0
-256,-223.492,0.816642,-0.350941,0.0868302,-0.334436,0,0,0,0
-256,-215.365,0.814392,-0.361998,0.0909431,-0.333002,0,0,0,0
-256,-207.238,0.812125,-0.37335,0.095231,-0.33107,0,0,0,0
-256,-199.111,0.809845,-0.384985,0.0996933,-0.328593,0,0,0,0
-256,-190.984,0.807556,-0.396887,0.104327,-0.325525,0,0,0,0
-256,-182.857,0.805261,-0.409037,0.109129,-0.321819,0,0,0,0
-256,-174.73,0.802965,-0.421409,0.11409,-0.317424,0,0,0,0
-256,-166.603,0.800673,-0.433974,0.119202,-0.312288,0,0,0,0
-256,-158.476,0.798392,-0.446696,0.124452,-0.306361,0,0,0,0
-256,-150.349,0.796128,-0.459534,0.129822,-0.299592,0,0,0,0
-256,-142.222,0.793887,-0.472437,0.135292,-0.29193,0,0,0,0
-256,-134.095,0.79168,-0.485351,0.140837,-0.283328,0,0,0,0
-256,-125.968,0.789513,-0.498212,0.146429,-0.273742,0,0,0,0
-256,-117.841,0.787397,-0.510949,0.152033,-0.263133,0,0,0,0
-256,-109.714,0.785343,-0.523483,0.157612,-0.251469,0,0,0,0
-256,-101.587,0.78336,-0.53573,0.163121,-0.238725,0,0,0,0
-256,-93.4603,0.781463,-0.547596,0.168514,-0.224889,0,0,0,0
-256,-85.3333,0.779661,-0.558985,0.17374,-0.209958,0,0,0,0
-256,-77.2063,0.777969,-0.569794,0.178743,-0.193944,0,0,0,0
-256,-69.0794,0.776399,-0.57992,0.183467,-0.176876,0,0,0,0
-256,-60.9524,0.774963,-0.589256,0.187855,-0.158796,0,0,0,0
-256,-52.8254,0.773675,-0.597699,0.191849,-0.139767,0,0,0,0
-256,-44.6984,0.772545,-0.60515,0.195394,-0.119868,0,0,0,0
-256,-36.5714,0.771585,-0.611517,0.198438,-0.0991968,0,0,0,0
-256,-28.4444,0.770805,-0.616718,0.200934,-0.0778676,0,0,0,0
-256,-20.3175,0.770212,-0.620683,0.202843,-0.0560092,0,0,0,0
-256,-12.1905,0.769813,-0.623357,0.204134,-0.0337633,0,0,0,0
-256,-4.06349,0.769613,-0.624704,0.204785,-0.0112809,0,0,0,0
-256,4.06349,0.769613,-0.624704,0.204785,0.0112809,0,0,0,0
-256,12.1905,0.769813,-0.623357,0.204134,0.0337633,0,0,0,0
-256,20.3175,0.770212,-0.620683,0.202843,0.0560092,0,0,0,0
-256,28.4444,0.770805,-0.616718,0.200934,0.0778676,0,0,0,0
-256,36.5714,0.771585,-0.611517,0.198438,0.0991968,0,0,0,0
-256,44.6984,0.772545,-0.60515,0.195394,0.119868,0,0,0,0
-256,52.8254,0.773675,-0.597699,0.191849,0.139767,0,0,0,0
-256,60.9524,0.774963,-0.589256,0.187855,0.158796,0,0,0,0
